turn,utterance,emotion,act,hat,dialogue_id,topic
5,What do you mean by something different ?,no_emotion,question,white,10626,Work
0,Didn't Joe feel it a shame to live on his parents since he has graduated from college ?,no_emotion,question,white,4219,Attitude_Emotion
3,"Mr . Richard , this is Henry . I was interviewed by you last Tuesday .",no_emotion,inform,white,10622,Work
0,My uncle passed away last night .,sadness,inform,white,4866,Relationship
2,"Yes . Fortunately , an ambulance passed in the nick of time , and we got him away to hospital .",no_emotion,inform,white,4240,Attitude_Emotion
0,How's your girlfriend ?,no_emotion,question,white,4874,Relationship
6,How about Friday afternoon ?,no_emotion,directive,white,10477,Work
2,"This is Kelly speaking . I am calling from London . How are you , Mr . Chang ?",no_emotion,question,white,10437,Work
1,He has no sense .,no_emotion,inform,white,4219,Attitude_Emotion
0,How could you have done that without asking me first ?,anger,question,white,4259,Attitude_Emotion
2,"And , her lips ?",no_emotion,question,white,4258,Attitude_Emotion
0,I work so hard that I do not have the energy to exercise .,no_emotion,inform,white,4171,Attitude_Emotion
3,But Joe won't you . __eou__,no_emotion,inform,white,4219,Attitude_Emotion
3,"Yes , I've been thinking about Florida . __eou__",happiness,inform,white,4860,Relationship
4,"Sorry . I'm strictly a spectator-football , baseball , basketball , golf ... I watch them all . __eou__",no_emotion,commissive,white,4840,Relationship
5,Thank you . Can I open the packages to check the color and style ?,no_emotion,directive,white,10476,Work
4,You gave me a deep impression then . Can I help you ?,no_emotion,question,white,10622,Work
4,It ’ s true . Guess what we were talking about last night .,no_emotion,directive,white,4167,Attitude_Emotion
2,"We hope to make a decision in the next few days . We'll notify you of our decision by mail , is this convenient for you ?",no_emotion,directive,white,10625,Work
1,And what did you decide ?,no_emotion,question,white,10464,Work
0,"Hello , Fred . What are you doing ?",no_emotion,question,white,10486,Work
9,Anything you want . They have both casual and formal styles .,no_emotion,inform,white,4260,Attitude_Emotion
3,Yes . Thank you very much . I am looking forward to hearing from you .,no_emotion,commissive,white,10625,Work
5,"Well , no-that is , I've heard Linda say they do , but ... Thank you . But please don't speak to me again .",happiness,inform,white,4264,Attitude_Emotion
1,Why do you say that ?,no_emotion,question,white,4213,Attitude_Emotion
0,What's up ? You look low .,no_emotion,question,white,4212,Attitude_Emotion
1,I'm glad to hear that . __eou__,happiness,inform,white,4252,Attitude_Emotion
4,"Good luck to you , good-bye .",no_emotion,inform,white,10625,Work
0,"Okay , so we're agreed on 900 .",no_emotion,inform,white,10435,Work
6,Does it enjoy popularity among the young generation ?,no_emotion,question,white,4835,Relationship
7,"Yes , I would . ( After testing )",no_emotion,commissive,white,10620,Work
2,"Say , how would you like to be a dress designer ?",no_emotion,question,white,4185,Attitude_Emotion
6,Do you have any friend you would call really close ones ?,no_emotion,question,white,10460,Work
0,Can you work over tonight ?,no_emotion,directive,white,10463,Work
3,I see why it lags behind other towns . __eou__,no_emotion,inform,white,4215,Attitude_Emotion
4,"Really ? I had no idea . Let me check.Yes , it's dead . There's no dial tone .",surprise,inform,white,4247,Attitude_Emotion
0,Is it okay to have a day off next week ?,no_emotion,directive,white,10466,Work
1,"Oh , thank God . We all felt frightened by the bad new about him .",sadness,inform,white,4240,Attitude_Emotion
5,"Ok . I will wait until you have had your fun , if that's what you want .",no_emotion,commissive,white,4164,Attitude_Emotion
3,"Come on , Nancy . Play it cool . I go with you and burn the middle night oil tonight . __eou__",no_emotion,inform,white,4217,Attitude_Emotion
10,"All right . You need to have an interview with our manager , Mr . McBride . Let ’ s go to his office . __eou__",no_emotion,directive,white,10620,Work
0,Can you do push-ups ?,no_emotion,question,white,4837,Relationship
5,That's quite a compliment coming from you . __eou__,happiness,inform,white,4242,Attitude_Emotion
3,"Yes , if it's not too much of a trouble .",happiness,commissive,white,4832,Relationship
2,"Our quality control department is in charge of the inspection , which is directly under general manager . It is essential to attach the importance to the quality of goods . It is the basement for the future cooperation .",no_emotion,inform,white,10476,Work
5,"No , it's a semimonthly .",no_emotion,inform,white,4835,Relationship
4,"Oh , really ? Is it a good way ?",no_emotion,question,white,10483,Work
4,What are your qualifications for being a clerk typist ?,no_emotion,question,white,10620,Work
0,I had an accident .,no_emotion,inform,white,4855,Relationship
10,What kind of people you find hard to work with ?,no_emotion,question,white,10460,Work
5,Inspection is to be done by the China Commodity Inspection and Testing Bureau . Usually inspection is conducted within five days before each shipment .,no_emotion,inform,white,10481,Work
1,I have no idea yet . Do you have any suggestions ?,no_emotion,question,white,4847,Relationship
1,How long will it take to make five hundred ?,no_emotion,question,white,10490,Work
1,I can't come until next week .,no_emotion,inform,white,4845,Relationship
3,I saw her dating with her ex-boyfriend again .,sadness,inform,white,4212,Attitude_Emotion
7,"Firstly , it can overcome the geographic limitation . And secondly , e-commerce can lower the internal costs . And thirdly , people like us , can also open stores on Internet .",no_emotion,inform,white,10486,Work
1,Yes . Who is speaking ?,no_emotion,question,white,10437,Work
1,It's a blackout . Now I can't see Seinfeld .,no_emotion,inform,white,4251,Attitude_Emotion
4,The cause is another boy .,no_emotion,inform,white,4201,Attitude_Emotion
1,I would if I were you . __eou__,no_emotion,inform,white,4843,Relationship
0,"Mrs . Phoebe , here are your ordered goods . Please inspect the goods now .",no_emotion,directive,white,10476,Work
1,"Yes . Look , it is on my desk .",happiness,inform,white,4853,Relationship
2,Do you have any where in mind ?,happiness,question,white,4860,Relationship
0,Guess what I've brought for you .,happiness,directive,white,4265,Attitude_Emotion
0,"Jim , how was your weekend ?",happiness,question,white,4879,Relationship
1,Yeah . He really does let me down .,no_emotion,inform,white,4234,Attitude_Emotion
0,"Well , Miss Liu , I've enjoyed talking with you . Thank you for your interest in this job .",no_emotion,inform,white,10625,Work
1,What happened ?,no_emotion,question,white,4168,Attitude_Emotion
11,That's a good idea . __eou__,happiness,inform,white,4260,Attitude_Emotion
2,Is everything under control ?,no_emotion,question,white,10465,Work
5,How much is it ?,no_emotion,question,white,4249,Attitude_Emotion
0,What post have you held before ?,no_emotion,question,white,10623,Work
2,Did she give up her decision to marry Dick ?,no_emotion,question,white,4218,Attitude_Emotion
2,Are you sure ?,surprise,question,white,4214,Attitude_Emotion
0,I have a bone to pick with you .,anger,inform,white,4227,Attitude_Emotion
3,Leave ? Why ?,no_emotion,question,white,10626,Work
1,Can you take he away from me ?,no_emotion,directive,white,4220,Attitude_Emotion
1,What's the cause ?,no_emotion,question,white,4215,Attitude_Emotion
5,I can type 120 words a minute and I take shorthand at 80 words a minute .,no_emotion,inform,white,10620,Work
10,Do you have a cell phone ?,no_emotion,question,white,4247,Attitude_Emotion
0,What's your favorite magazine ?,no_emotion,question,white,4835,Relationship
1,"He does , he started five years ago and now ends up the richest among us .",no_emotion,inform,white,4222,Attitude_Emotion
6,It's the same as usual . The only difference lies in that you need to paste the book as an attachment .,no_emotion,directive,white,10621,Work
1,Yeah .,no_emotion,inform,white,4214,Attitude_Emotion
7,What are we going to do now ?,no_emotion,question,white,4251,Attitude_Emotion
5,Why not now ? I'm hungry . __eou__,happiness,inform,white,4831,Relationship
7,My cigarettes .,no_emotion,inform,white,4210,Attitude_Emotion
3,He is hopeless . __eou__,no_emotion,inform,white,4230,Attitude_Emotion
3,You'd better cool yourself down first . __eou__,no_emotion,inform,white,4208,Attitude_Emotion
1,Not yet . __eou__,no_emotion,inform,white,4858,Relationship
0,I'm going to let Bob know about the merger .,no_emotion,directive,white,10467,Work
9,What did you do ?,no_emotion,question,white,4250,Attitude_Emotion
2,What makes you think so ?,no_emotion,question,white,4221,Attitude_Emotion
12,Will you give me some suggestion ?,no_emotion,directive,white,10483,Work
0,Has the train come yet ?,no_emotion,question,white,4188,Attitude_Emotion
3,Where did you learn it ?,no_emotion,question,white,4245,Attitude_Emotion
6,I want to live abroad and learn to speak a different language .,no_emotion,inform,white,10626,Work
3,"Don't be so irritable . I just don't understand the program , that's all .",no_emotion,inform,white,4164,Attitude_Emotion
2,"But I work hard all the time for long hours . Often I have no time for lunch . Yet , I am still getting fatter .",no_emotion,inform,white,4171,Attitude_Emotion
5,Come here ; let me introduce some friends to you . __eou__,happiness,inform,white,4854,Relationship
1,"Thank you , Wendy . I hope you'll be able to make it to the wedding .",happiness,inform,red,4169,Attitude_Emotion
3,That's great . I thought you said you didn't get the job .,happiness,inform,red,4168,Attitude_Emotion
4,Thank you . I ’ m leaving tomorrow morning .,happiness,inform,red,4209,Attitude_Emotion
2,A well-learned person never does that . __eou__,disgust,inform,red,4195,Attitude_Emotion
5,Oh look ! Here it comes now ! __eou__,no_emotion,inform,red,4188,Attitude_Emotion
3,If you say so ! __eou__,no_emotion,inform,red,4182,Attitude_Emotion
2,"Shut up . You should think how to make fortunes , not look for a squabble . __eou__",anger,inform,red,4237,Attitude_Emotion
1,"Sorry , I'm supposed to be with my son .",no_emotion,commissive,red,10463,Work
5,Thank you . __eou__,happiness,inform,red,10485,Work
0,I'm tired .,no_emotion,directive,red,10468,Work
1,"The lecturer is dull , too .",no_emotion,inform,red,4191,Attitude_Emotion
1,Mmmm ... it's hard to say . I like golf a lot-but I guess I like tennis better .,no_emotion,inform,red,4840,Relationship
0,I'm terribly nervous .,fear,inform,red,4862,Relationship
2,Thank you . You ’ Ve been so nice to me .,happiness,commissive,red,10480,Work
3,It's my dream . __eou__,happiness,inform,red,4185,Attitude_Emotion
0,I've been working hard for a whole year . I really need a break .,no_emotion,inform,red,10482,Work
2,"Oh , I can't believe it.He looks very young .",surprise,inform,red,4172,Attitude_Emotion
0,"Saying you want to kill yourself , you terrified me out of my wits .",no_emotion,inform,red,4196,Attitude_Emotion
1,"Yes , it's to my liking , too .",happiness,inform,red,4185,Attitude_Emotion
1,"Hi , Mary , Hi , Ken I hate to bring this up , but that new stereo , system you got ...",no_emotion,inform,red,4244,Attitude_Emotion
8,Thank you very much . Goodbye .,no_emotion,inform,red,10437,Work
0,My son came home from three years in the navy .,no_emotion,inform,red,4203,Attitude_Emotion
2,"I may have done a lot , but none is to my satisfaction .",sadness,inform,red,4202,Attitude_Emotion
0,I'm afraid of the darkness .,fear,inform,red,4177,Attitude_Emotion
0,Oh !,no_emotion,inform,red,4211,Attitude_Emotion
2,I'm looking forward to it . __eou__,happiness,inform,red,4169,Attitude_Emotion
1,"I know , it's not as I had planned .",sadness,inform,red,10434,Work
3,She is really something . __eou__,happiness,inform,red,4199,Attitude_Emotion
0,You hurt Ben's feelings .,no_emotion,inform,red,4849,Relationship
5,"Sorry , love .",no_emotion,inform,red,4210,Attitude_Emotion
4,"Yes , my customers have started to complain too !",no_emotion,inform,red,4188,Attitude_Emotion
0,I don't think the lecture is very interesting .,no_emotion,inform,red,4191,Attitude_Emotion
1,What fools we were !,sadness,inform,red,4211,Attitude_Emotion
0,I feel so uncomfortable .,no_emotion,inform,red,4190,Attitude_Emotion
